"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 24 10:15:29 IST 2025","Fri Jan 24 10:15:34 IST 2025","5096","Chromium","login.spec.js","Admin Login Suite","","","Login with blank username and valid password",""
"passed","Fri Jan 24 10:15:15 IST 2025","Fri Jan 24 10:15:23 IST 2025","7915","Chromium","roomBooking.spec.js","Room Booking Suite","","","Book a room using the unique room number",""
"passed","Fri Jan 24 10:15:10 IST 2025","Fri Jan 24 10:15:16 IST 2025","5716","Chromium","login.spec.js","Admin Login Suite","","","Login with valid username and invalid password",""
"passed","Fri Jan 24 10:15:23 IST 2025","Fri Jan 24 10:15:28 IST 2025","4869","Chromium","roomBooking.spec.js","Room Booking Suite","","","Book a room and cancel at the end",""
"passed","Fri Jan 24 10:15:05 IST 2025","Fri Jan 24 10:15:10 IST 2025","5115","Chromium","login.spec.js","Admin Login Suite","","","Login with valid username and valid password",""
"passed","Fri Jan 24 10:15:03 IST 2025","Fri Jan 24 10:15:15 IST 2025","11728","Chromium","editRoom.spec.js","Admin Room Management Suite","","","Edit a created room and verify changes",""
"passed","Fri Jan 24 10:15:16 IST 2025","Fri Jan 24 10:15:21 IST 2025","5413","Chromium","login.spec.js","Admin Login Suite","","","Login with invalid username and valid password",""
"passed","Fri Jan 24 10:14:53 IST 2025","Fri Jan 24 10:15:05 IST 2025","11775","Chromium","createAndDeleteRoom.spec.js","Admin Room Management Suite","","","Delete a created room and verify it is deleted",""
"passed","Fri Jan 24 10:15:34 IST 2025","Fri Jan 24 10:15:38 IST 2025","4509","Chromium","login.spec.js","Admin Login Suite","","","Login with valid username and blank password",""
"failed","Fri Jan 24 10:14:41 IST 2025","Fri Jan 24 10:14:46 IST 2025","5547","Chromium","accessibilityBasic.spec.js","Accessibility Tests for Automation in Testing Admin Page","","","should check accessibility on Admin page",""
"passed","Fri Jan 24 10:14:41 IST 2025","Fri Jan 24 10:14:51 IST 2025","9835","Chromium","createAndDeleteRoom.spec.js","Admin Room Management Suite","","","Create a room and verify it",""
"passed","Fri Jan 24 10:14:53 IST 2025","Fri Jan 24 10:15:02 IST 2025","9664","Chromium","editRoom.spec.js","Admin Room Management Suite","","","Create a room and verify it",""
"passed","Fri Jan 24 10:15:21 IST 2025","Fri Jan 24 10:15:29 IST 2025","7759","Chromium","login.spec.js","Admin Login Suite","","","Login with invalid username and invalid password",""
